score,model,kernel,AUDRC,Success Rate,experiment
stein,anm,exp,0.6772354408828123,0.6,mnu
kde,nn,exp,0.4803848663147962,0.52,mnu
stein,nn,gauss,0.6660775328611256,0.5,mnu
kde,anm,exp,0.44695232907825916,0.49,mnu
stein,parametric-lin,gauss,0.3189761772115214,0.42,mnu
hybrid,nn,exp,0.28902354292008997,0.4,mnu
stein,parametric-quad,gauss,0.24737542312796168,0.35,mnu
stein,lsnm,gauss,0.24234876225765112,0.34,mnu
hybrid,lsnm,exp,0.08356535351378488,0.22,mnu
hybrid,anm,exp,0.06401869137268587,0.22,mnu
hybrid,parametric-quad,exp,0.05981523549376186,0.2,mnu
hybrid,parametric-lin,exp,0.04770717329255905,0.2,mnu
hybrid,anm,gauss,0.021262600442373717,0.1,mnu
stein,anm,gauss,0.013516848766147855,0.09,mnu
kde,parametric-lin,exp,0.024167220059801996,0.08,mnu
